,age,stints,G,tap,AB,R,H,db,tr,HR,RBI,SB,CS,BB,SO,IBB,hbp,SH,SF,GIDP,avg,obp,slg,woba,PRO,GURU,salary,multiple_positions,ops,WAR,Rookie contract,1B,2B,3B,C,DH,OF,P,SS,bats_B,bats_L,bats_R,throws_L,throws_R
101,29,1,162.0,676.0,636.0,68.0,172.0,31.0,4.0,22.0,86.0,2.0,2.0,28.0,111.0,2.0,3.0,0.0,9.0,23.0,0.270440252,0.300295858,0.435534591,0.31581361,213.49,51.29557375,11.857142,1,0.735830449,1.9,0,0,1,0,0,0,0,0,0,0,0,1,0,1
103,26,1,72.0,228.0,198.0,28.0,51.0,11.0,2.0,8.0,25.0,0.0,0.0,21.0,71.0,0.0,8.0,0.0,1.0,5.0,0.257575758,0.350877193,0.454545455,0.352982456,80.48,38.36060126,0.397062,0,0.805422648,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
107,26,1,156.0,670.0,583.0,102.0,145.0,36.0,3.0,36.0,91.0,1.0,1.0,73.0,147.0,0.0,11.0,0.0,3.0,12.0,0.248713551,0.341791045,0.506003431,0.363179105,243.33,84.82297967,0.58,0,0.847794476,5.7,0,0,0,1,0,0,0,0,0,0,0,1,0,1
109,35,1,114.0,437.0,366.0,57.0,87.0,22.0,1.0,17.0,58.0,1.0,2.0,51.0,125.0,1.0,13.0,2.0,5.0,11.0,0.237704918,0.347126437,0.442622951,0.344988558,150.76,53.51837792,5.75,0,0.7897493879999999,2.2,0,0,0,0,1,0,0,0,0,0,0,1,0,1
115,26,1,151.0,648.0,549.0,90.0,141.0,29.0,1.0,33.0,92.0,7.0,2.0,84.0,149.0,5.0,10.0,0.0,5.0,11.0,0.256830601,0.362654321,0.493624772,0.370447531,240.05,89.23987475,4.025,0,0.8562790929999999,4.4,0,0,0,0,0,0,1,0,0,0,1,0,0,1
116,27,1,105.0,409.0,360.0,57.0,98.0,18.0,2.0,24.0,64.0,1.0,2.0,38.0,102.0,2.0,9.0,0.0,2.0,4.0,0.272222222,0.354523227,0.533333333,0.378850856,154.95,72.12954181,0.684,1,0.8878565599999999,2.6,0,0,0,0,1,0,0,0,0,0,0,1,0,1
117,28,1,107.0,421.0,381.0,52.0,107.0,16.0,1.0,15.0,50.0,0.0,0.0,33.0,110.0,0.0,5.0,0.0,2.0,10.0,0.280839895,0.344418052,0.446194226,0.345985748,145.66,52.80781145,0.555,1,0.790612278,1.6,0,1,0,0,0,0,0,0,0,0,0,1,0,1
119,27,1,97.0,247.0,217.0,22.0,48.0,8.0,0.0,7.0,24.0,3.0,1.0,19.0,69.0,0.0,3.0,6.0,2.0,2.0,0.221198157,0.290456432,0.35483871,0.280161943,69.2,17.41329944,0.49236,0,0.6452951419999999,0.3,0,0,0,0,0,0,1,0,0,0,0,1,0,1
120,24,1,75.0,321.0,280.0,42.0,78.0,16.0,1.0,21.0,59.0,1.0,0.0,35.0,75.0,0.0,2.0,0.0,4.0,8.0,0.278571429,0.358255452,0.567857143,0.389563863,125.05,68.36838178,5.0,0,0.926112595,3.8,1,0,0,0,0,0,0,0,1,0,0,1,0,1
125,32,1,147.0,560.0,500.0,58.0,114.0,24.0,2.0,11.0,59.0,3.0,2.0,53.0,117.0,5.0,3.0,0.0,4.0,10.0,0.228,0.303571429,0.35,0.292928571,164.04,34.58109905,15.2,0,0.653571429,0.4,0,0,0,0,0,0,0,0,1,0,1,0,0,1
129,38,1,120.0,520.0,454.0,81.0,141.0,26.0,0.0,41.0,108.0,0.0,1.0,56.0,131.0,8.0,7.0,0.0,3.0,14.0,0.310572687,0.392307692,0.63876652,0.431461539,224.36,135.0259008,14.0,0,1.031074212,4.3,0,0,0,0,0,1,0,0,0,0,0,1,0,1
132,26,1,87.0,330.0,309.0,24.0,76.0,14.0,0.0,9.0,40.0,1.0,0.0,19.0,67.0,1.0,2.0,0.0,0.0,14.0,0.245954693,0.293939394,0.378640777,0.296333333,97.79,25.71080701,0.55754,1,0.672580171,-1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
133,25,1,100.0,413.0,374.0,67.0,113.0,28.0,5.0,15.0,61.0,4.0,4.0,28.0,110.0,0.0,4.0,2.0,5.0,3.0,0.302139037,0.352798054,0.524064171,0.371501211,153.43,67.58479903,0.56,0,0.876862225,1.7,1,0,0,0,0,0,1,0,0,0,1,0,0,1
135,33,1,105.0,352.0,307.0,26.0,55.0,9.0,0.0,12.0,36.0,0.0,0.0,39.0,139.0,1.0,3.0,0.0,3.0,6.0,0.179153095,0.275568182,0.325732899,0.271278409,95.49,19.42694388,21.065362,1,0.601301081,-1.3,0,1,0,0,0,0,0,0,0,0,1,0,0,1
138,27,1,37.0,95.0,83.0,8.0,15.0,1.0,0.0,2.0,6.0,3.0,1.0,5.0,24.0,0.0,5.0,1.0,1.0,1.0,0.180722892,0.265957447,0.265060241,0.245157895,23.29,5.811816138,0.244688,0,0.5310176879999999,-0.1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
140,31,1,133.0,533.0,481.0,61.0,106.0,11.0,0.0,23.0,73.0,0.0,0.0,47.0,146.0,3.0,3.0,0.0,2.0,11.0,0.22037422,0.292682927,0.386694387,0.29902439,159.38,36.11297198,16.5,0,0.6793773139999999,-0.9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
144,25,1,64.0,189.0,178.0,17.0,40.0,14.0,0.0,6.0,21.0,0.0,2.0,9.0,47.0,1.0,0.0,1.0,1.0,5.0,0.224719101,0.260638298,0.404494382,0.283280423,53.54,15.27529432,0.226784,1,0.6651326799999999,-0.6,1,0,0,0,0,0,1,0,0,0,0,1,0,1
145,25,1,159.0,664.0,583.0,97.0,136.0,31.0,1.0,30.0,78.0,9.0,5.0,62.0,149.0,1.0,13.0,0.0,6.0,15.0,0.233276158,0.317771084,0.444253859,0.330557229,219.49,59.87301857,1.666666,0,0.7620249429999999,3.7,1,0,0,0,0,0,0,0,1,0,0,1,0,1
147,24,1,48.0,186.0,169.0,24.0,38.0,7.0,2.0,3.0,10.0,3.0,0.0,14.0,63.0,0.0,1.0,1.0,1.0,3.0,0.224852071,0.286486487,0.343195266,0.278924731,51.88,14.29047922,0.17904,0,0.6296817530000001,-0.5,1,0,0,0,0,0,1,0,0,0,0,1,0,1
148,32,1,82.0,193.0,168.0,20.0,29.0,5.0,1.0,2.0,15.0,2.0,1.0,23.0,57.0,0.0,0.0,1.0,1.0,3.0,0.172619048,0.270833333,0.25,0.244145078,47.12,9.011167092,1.5,1,0.520833333,-1.2,0,0,1,0,0,0,0,0,0,0,1,0,0,1
149,26,1,118.0,408.0,357.0,42.0,89.0,15.0,4.0,4.0,32.0,24.0,6.0,38.0,100.0,0.0,3.0,8.0,2.0,8.0,0.24929972,0.325,0.347338936,0.298161765,121.65,30.11711361,1.4,0,0.672338936,0.9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
150,33,1,140.0,482.0,443.0,64.0,113.0,31.0,4.0,20.0,65.0,3.0,3.0,34.0,119.0,1.0,2.0,1.0,2.0,12.0,0.255079007,0.30977131,0.478555305,0.335809129,161.86,51.65502079,15.0,1,0.788326615,-0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,1
151,22,1,156.0,702.0,647.0,129.0,201.0,54.0,4.0,32.0,115.0,8.0,8.0,48.0,119.0,7.0,4.0,1.0,2.0,8.0,0.310664606,0.360912982,0.554868624,0.388974359,273.06,112.1899205,0.6145,1,0.915781606,6.7,1,0,0,1,0,0,0,0,0,0,1,0,0,1
152,28,1,69.0,247.0,210.0,36.0,57.0,12.0,1.0,9.0,40.0,2.0,0.0,26.0,28.0,1.0,5.0,0.0,6.0,10.0,0.271428571,0.356275304,0.466666667,0.35611336,87.96,41.69587458,2.0,1,0.822941971,1.3,0,1,0,0,0,0,0,0,0,0,0,1,0,1
153,28,1,101.0,332.0,303.0,31.0,73.0,14.0,0.0,2.0,28.0,0.0,0.0,23.0,56.0,0.0,2.0,1.0,3.0,11.0,0.240924092,0.296072508,0.306930693,0.272951807,90.62,19.13670066,0.5785,0,0.6030032009999999,-1.5,0,0,0,0,1,0,0,0,0,0,0,1,0,1
155,27,1,79.0,347.0,307.0,53.0,82.0,20.0,1.0,14.0,38.0,2.0,2.0,35.0,61.0,1.0,1.0,0.0,4.0,9.0,0.267100977,0.340057637,0.475570033,0.351325648,121.91,49.33788014,0.5584,1,0.81562767,1.6,0,0,0,1,0,0,0,0,0,0,0,1,0,1
156,29,2,68.0,190.0,174.0,29.0,48.0,13.0,3.0,6.0,28.0,1.0,1.0,13.0,42.0,1.0,2.0,0.0,1.0,5.0,0.275862069,0.331578947,0.488505747,0.351368421,66.76,33.57100751,0.301384,0,0.820084694,0.3,0,0,0,0,0,0,1,0,0,0,1,0,1,0
158,29,1,113.0,305.0,251.0,41.0,47.0,8.0,2.0,19.0,43.0,1.0,1.0,28.0,74.0,2.0,25.0,0.0,1.0,2.0,0.187250996,0.327868853,0.462151394,0.344918033,105.2,42.48381598,2.0,1,0.790020247,0.7,0,0,1,0,0,0,0,0,0,0,1,0,0,1
161,27,1,117.0,420.0,391.0,41.0,97.0,20.0,4.0,15.0,52.0,5.0,1.0,21.0,136.0,0.0,4.0,0.0,4.0,5.0,0.248081841,0.290476191,0.434782609,0.310976191,130.61,35.75955257,0.49236,1,0.7252588,0.4,0,1,0,0,0,0,0,0,0,0,0,1,0,1
162,33,1,155.0,659.0,549.0,96.0,142.0,33.0,0.0,37.0,94.0,4.0,2.0,100.0,155.0,2.0,8.0,0.0,2.0,13.0,0.258652095,0.379362671,0.520947177,0.388270106,255.87,107.0335682,23.0,0,0.900309848,5.2,0,0,0,1,0,0,0,0,0,0,0,1,0,1
163,32,1,135.0,482.0,416.0,54.0,99.0,20.0,0.0,20.0,50.0,3.0,4.0,61.0,105.0,2.0,4.0,0.0,1.0,11.0,0.237980769,0.340248963,0.430288462,0.339875519,163.82,53.96848467,9.0,1,0.770537425,1.1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
164,27,1,139.0,586.0,523.0,75.0,146.0,29.0,10.0,26.0,84.0,2.0,2.0,55.0,148.0,2.0,3.0,0.0,5.0,9.0,0.2791587,0.348122867,0.521988528,0.370324232,217.01,83.57553686,0.567225,1,0.8701113949999999,2.7,0,0,0,1,0,0,0,0,0,0,0,1,0,1
165,26,1,120.0,447.0,418.0,43.0,91.0,21.0,1.0,15.0,41.0,0.0,1.0,25.0,113.0,0.0,1.0,0.0,3.0,6.0,0.217703349,0.261744966,0.380382775,0.277852349,124.2,24.69822733,1.3,1,0.642127741,-0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,1
168,28,1,46.0,169.0,147.0,12.0,37.0,8.0,0.0,1.0,12.0,0.0,1.0,19.0,29.0,0.0,2.0,0.0,1.0,4.0,0.25170068,0.343195266,0.326530612,0.309171598,52.25,19.55058438,2.675,1,0.6697258779999999,-0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
170,30,1,41.0,130.0,120.0,17.0,32.0,4.0,1.0,10.0,19.0,0.0,0.0,7.0,39.0,0.0,2.0,0.0,1.0,0.0,0.266666667,0.315384615,0.566666667,0.368153846,47.86,31.20730708,2.0,0,0.8820512819999999,0.9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
171,34,1,130.0,452.0,400.0,65.0,92.0,11.0,2.0,7.0,27.0,30.0,4.0,47.0,86.0,0.0,2.0,1.0,2.0,1.0,0.23,0.312638581,0.32,0.288827434,130.55,28.64166554,4.0,0,0.632638581,1.3,0,0,0,0,0,0,1,0,0,0,1,0,0,1
172,30,1,151.0,656.0,566.0,103.0,158.0,25.0,7.0,15.0,49.0,15.0,3.0,65.0,106.0,0.0,13.0,9.0,3.0,8.0,0.279151944,0.364760433,0.427561838,0.346981707,227.62,70.87941937,8.4,0,0.792322271,2.5,0,0,0,0,0,0,1,0,0,0,1,0,1,0
175,36,2,109.0,486.0,418.0,81.0,102.0,18.0,0.0,34.0,86.0,0.0,1.0,58.0,103.0,1.0,7.0,0.0,3.0,4.0,0.244019139,0.343621399,0.531100479,0.371666667,180.63,75.1263184,8.0,1,0.874721878,2.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1
176,27,1,89.0,248.0,227.0,26.0,55.0,10.0,2.0,6.0,26.0,3.0,3.0,14.0,78.0,0.0,6.0,1.0,0.0,5.0,0.242290749,0.303643725,0.383259912,0.302822581,75.1,23.17181606,0.34384,0,0.6869036369999999,0.9,0,0,0,0,0,0,1,0,0,0,0,1,0,1
178,30,1,158.0,699.0,636.0,94.0,171.0,29.0,10.0,35.0,118.0,5.0,1.0,50.0,130.0,3.0,3.0,0.0,10.0,8.0,0.268867925,0.320457797,0.511006289,0.351015737,245.36,76.99099178,6.166666,1,0.831464086,2.9,0,0,0,1,0,0,0,0,0,1,0,0,0,1
180,28,1,97.0,197.0,183.0,22.0,42.0,6.0,0.0,9.0,27.0,4.0,1.0,10.0,59.0,1.0,3.0,0.0,1.0,1.0,0.229508197,0.279187817,0.409836066,0.298172589,58.74,18.90195023,0.5575,1,0.689023883,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
181,31,1,29.0,83.0,75.0,6.0,12.0,2.0,0.0,4.0,7.0,1.0,0.0,5.0,31.0,0.0,0.0,3.0,0.0,1.0,0.16,0.2125,0.346666667,0.232289157,19.28,4.380675205,0.196944,1,0.559166667,-0.2,0,0,0,0,1,0,0,0,0,0,0,1,0,1
184,25,1,154.0,653.0,596.0,83.0,173.0,30.0,4.0,6.0,49.0,8.0,3.0,55.0,64.0,2.0,0.0,1.0,1.0,8.0,0.290268456,0.349693252,0.384228188,0.328392037,214.44,57.8361409,0.5615,1,0.73392144,3.1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
185,27,1,89.0,285.0,265.0,31.0,84.0,18.0,0.0,9.0,37.0,0.0,0.0,15.0,31.0,0.0,4.0,0.0,1.0,9.0,0.316981132,0.361403509,0.486792453,0.36831579,104.97,51.65691688,3.75,1,0.848195962,1.5,0,0,1,0,0,0,0,0,0,0,0,1,0,1
186,33,1,85.0,310.0,271.0,36.0,62.0,11.0,3.0,11.0,34.0,0.0,0.0,31.0,105.0,3.0,6.0,0.0,2.0,8.0,0.228782288,0.319354839,0.413284133,0.322225807,99.89,33.50894776,4.0,0,0.7326389719999999,2.1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
188,32,1,101.0,366.0,317.0,38.0,72.0,17.0,1.0,7.0,39.0,2.0,0.0,44.0,100.0,0.0,3.0,0.0,2.0,8.0,0.227129338,0.325136612,0.353312303,0.307431694,112.52,31.40643788,2.0,1,0.6784489149999999,-0.6,0,1,0,0,0,0,0,0,0,0,0,1,0,1
189,33,1,150.0,574.0,487.0,69.0,116.0,24.0,1.0,19.0,67.0,8.0,5.0,74.0,142.0,1.0,8.0,1.0,4.0,6.0,0.238193019,0.345549738,0.40862423,0.335278746,192.45,57.43376398,16.5,0,0.7541739679999999,0.6,0,0,0,0,0,0,1,0,0,1,0,0,0,1
191,26,1,123.0,428.0,389.0,48.0,91.0,17.0,0.0,17.0,56.0,0.0,0.0,36.0,61.0,19.0,0.0,0.0,3.0,14.0,0.233933162,0.296728972,0.40874036,0.307126168,131.45,34.58939663,5.2,1,0.7054693320000001,-0.8,0,0,0,1,0,0,0,0,0,0,0,1,0,1
193,27,1,152.0,608.0,554.0,80.0,154.0,33.0,7.0,10.0,50.0,5.0,5.0,40.0,75.0,4.0,9.0,4.0,1.0,6.0,0.277978339,0.336092715,0.416967509,0.32975329,200.49,56.09091079,0.584,0,0.753060224,2.7,0,0,1,0,0,0,0,0,0,0,1,0,0,1
195,33,1,133.0,499.0,447.0,63.0,112.0,19.0,2.0,21.0,67.0,1.0,2.0,40.0,106.0,1.0,12.0,0.0,0.0,9.0,0.250559284,0.328657315,0.44295302,0.33753507,168.43,53.80850184,9.0,1,0.771610335,2.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
196,29,1,158.0,692.0,597.0,113.0,176.0,34.0,2.0,38.0,121.0,6.0,3.0,87.0,127.0,11.0,6.0,0.0,2.0,17.0,0.29480737,0.388728324,0.549413735,0.402196532,278.32,125.5478079,21.409375,0,0.938142059,4.4,0,1,0,0,0,0,0,0,0,0,1,0,0,1
197,31,1,75.0,213.0,177.0,27.0,49.0,8.0,0.0,4.0,24.0,1.0,2.0,22.0,61.0,0.0,4.0,6.0,4.0,2.0,0.276836158,0.362318841,0.389830509,0.327981221,69.86,28.10858411,0.498328,1,0.75214935,1.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
198,36,1,79.0,186.0,162.0,35.0,51.0,13.0,0.0,11.0,29.0,0.0,0.0,23.0,44.0,0.0,1.0,0.0,0.0,7.0,0.314814815,0.403225807,0.598765432,0.425698925,79.18,66.58974045,4.5,1,1.001991239,1.5,0,1,0,0,0,0,0,0,0,0,0,1,0,1
205,29,2,147.0,589.0,557.0,67.0,145.0,28.0,1.0,23.0,70.0,4.0,2.0,28.0,145.0,1.0,1.0,1.0,2.0,14.0,0.26032316,0.295918367,0.438061041,0.315348048,185.74,46.71492606,1.053745,1,0.7339794079999999,2.2,0,0,0,0,0,0,0,0,1,1,0,0,0,1
206,27,1,134.0,356.0,311.0,47.0,77.0,18.0,0.0,7.0,33.0,2.0,2.0,40.0,104.0,2.0,3.0,0.0,2.0,0.0,0.247588424,0.337078652,0.372990354,0.319719101,113.82,35.58536183,0.546308,0,0.710069006,0.6,0,0,0,0,0,0,1,0,0,0,1,0,1,0
207,26,1,18.0,46.0,42.0,5.0,6.0,1.0,0.0,2.0,5.0,0.0,0.0,4.0,21.0,1.0,0.0,0.0,0.0,1.0,0.142857143,0.217391304,0.30952381,0.233043478,10.72,3.038234338,0.143232,1,0.526915114,-0.1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
208,28,1,125.0,530.0,489.0,61.0,138.0,25.0,2.0,20.0,72.0,10.0,4.0,31.0,125.0,2.0,7.0,0.0,3.0,15.0,0.282208589,0.332075472,0.464212679,0.344509434,182.59,60.24685404,4.5,0,0.7962881509999999,2.1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
209,29,1,134.0,372.0,311.0,52.0,77.0,13.0,4.0,4.0,31.0,0.0,2.0,53.0,83.0,1.0,5.0,1.0,2.0,4.0,0.247588424,0.363881402,0.353697749,0.32922043,122.47,40.71787431,0.91,1,0.717579151,1.1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
210,28,1,140.0,618.0,577.0,93.0,161.0,27.0,3.0,8.0,40.0,15.0,5.0,21.0,139.0,0.0,6.0,11.0,3.0,6.0,0.279029463,0.309719934,0.377816291,0.297864078,184.08,39.14212175,1.55,1,0.687536225,1.7,0,0,0,0,0,0,1,0,0,1,0,0,0,1
212,35,1,141.0,550.0,491.0,86.0,123.0,26.0,7.0,28.0,74.0,10.0,2.0,52.0,108.0,0.0,4.0,0.0,3.0,6.0,0.250509165,0.325454546,0.50305499,0.352727273,194.0,67.21960755,7.5,0,0.828509536,3.3,0,0,0,0,0,0,1,0,0,0,1,0,1,0
215,28,1,93.0,359.0,311.0,70.0,85.0,16.0,1.0,31.0,67.0,0.0,0.0,41.0,87.0,0.0,5.0,0.0,2.0,5.0,0.273311897,0.364902507,0.63022508,0.413426184,148.42,91.18740014,0.575,1,0.995127587,3.9,0,0,0,0,1,0,0,0,0,0,0,1,0,1
218,31,1,52.0,163.0,144.0,13.0,36.0,6.0,1.0,2.0,10.0,0.0,1.0,17.0,44.0,1.0,1.0,1.0,0.0,7.0,0.25,0.333333333,0.347222222,0.30791411,50.19,18.8221627,0.39315,1,0.680555555,0.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
219,31,1,161.0,680.0,597.0,97.0,155.0,25.0,1.0,34.0,97.0,3.0,1.0,78.0,166.0,2.0,2.0,0.0,3.0,11.0,0.259631491,0.345588235,0.475711893,0.355911765,242.02,79.55685016,15.5,0,0.8213001280000001,3.4,0,1,0,0,0,0,0,0,0,0,0,1,0,1
220,31,1,97.0,358.0,314.0,36.0,70.0,16.0,0.0,12.0,43.0,2.0,0.0,38.0,84.0,6.0,5.0,0.0,1.0,7.0,0.222929936,0.315642458,0.388535032,0.313268156,112.15,33.15935207,7.083333,1,0.70417749,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0,1
223,27,1,53.0,156.0,142.0,15.0,36.0,4.0,1.0,1.0,6.0,4.0,1.0,9.0,37.0,3.0,1.0,3.0,1.0,5.0,0.253521127,0.300653595,0.316901409,0.273717949,42.7,11.92255719,0.577,1,0.617555004,-0.1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
224,30,1,114.0,463.0,425.0,52.0,112.0,19.0,0.0,15.0,55.0,1.0,0.0,31.0,98.0,2.0,6.0,0.0,1.0,7.0,0.263529412,0.321814255,0.414117647,0.323606911,149.83,43.99692544,12.0,1,0.7359319019999999,1.7,0,0,0,0,0,0,1,0,0,1,0,0,0,1
226,28,1,136.0,458.0,413.0,65.0,108.0,29.0,3.0,17.0,47.0,7.0,3.0,38.0,129.0,2.0,3.0,1.0,3.0,3.0,0.261501211,0.326039387,0.469733656,0.341703057,156.5,53.262496,0.5835,0,0.7957730430000001,2.3,0,0,0,0,0,0,1,0,0,0,1,0,0,1
